2002-03-05, 194.229, 1.502, 3
2002-03-17, 261.71, 1.517, 15
2002-04-02, 189.274, 1.538, 3
2002-04-04, 188.968, 1.540, 3
2002-04-12, 260.224, 1.550, 15
2003-08-20, 238.601, 1.453, 8
2016-09-03, 208.418 ,1.403, 7
2002-08-12, 221.358, 1.505, 16
2003-02-28, 250.274, 1.616, 19
2004-07-05, 185.972, 1.401, 12
2005-11-17, 132.932, 1.436, 9
2006-04-29, 182.619, 1.467, 14
2007-03-03, 230.437, 1.492, 21
2008-09-12, 202.634, 1.565, 11
2009-05-08, 249.073, 1.537, 17
2010-12-25, 211.413, 1.473, 7
2011-10-22, 264.180, 1.438, 6
2012-07-16, 182.940, 1.484, 18
2013-01-05, 176.342, 1.602, 16
2014-04-30, 145.998, 1.622, 13
2015-08-14, 178.436, 1.439, 8
2016-11-06, 234.992, 1.574, 20
2017-03-18, 159.581, 1.490, 2
2018-09-23, 212.387, 1.429, 14
2019-06-11, 198.233, 1.454, 12
2020-03-04, 180.285, 1.501, 19
2021-01-02, 270.634, 1.453, 15
2022-02-09, 213.412, 1.576, 17
2023-11-15, 151.235, 1.495, 3
2002-03-24, 232.751, 1.475, 22
2003-09-29, 199.608, 1.629, 6
2004-10-10, 191.745, 1.414, 9
2005-06-14, 220.289, 1.558, 5
2006-12-22, 250.100, 1.514, 23
2007-05-29, 213.544, 1.463, 17
2008-08-10, 235.689, 1.441, 10
2009-10-25, 266.714, 1.471, 4
2010-04-16, 225.084, 1.480, 8
2011-06-01, 238.055, 1.551, 21
2012-08-08, 209.722, 1.413, 3
2013-11-11, 267.198, 1.634, 20
2014-07-02, 235.499, 1.427, 6
2015-09-18, 240.309, 1.621, 18
2016-05-13, 153.865, 1.476, 16
2017-10-20, 191.223, 1.494, 5
2018-12-17, 232.160, 1.449, 9
2019-03-09, 245.206, 1.524, 12
2020-06-02, 267.400, 1.492, 14
2021-10-19, 238.544, 1.507, 18
2022-03-26, 202.486, 1.493, 8
2023-07-07, 195.335, 1.557, 13
2002-09-16, 209.432, 1.491, 6
2003-04-19, 217.697, 1.440, 11
2004-02-14, 252.987, 1.576, 20
2005-11-06, 189.411, 1.519, 17
2006-01-25, 162.874, 1.463, 12
2007-07-11, 234.228, 1.497, 19
2008-05-15, 235.802, 1.533, 2
2010-12-04, 172.233, 1.515, 10
2011-09-08, 267.980, 1.460, 7
2012-05-03, 248.243, 1.579, 15
